start_s,end_s,duration_s,pitch_midi,pitch_name,pitch_hz,velocity,confidence
32.0989,32.2731,0.1741,56,G#3,207.652,63,0.4945
31.9248,32.0989,0.1741,56,G#3,207.652,41,0.3221
31.9132,32.4008,0.4876,74,D5,587.330,49,0.3855
31.7725,32.0409,0.2683,70,A#4,466.164,43,0.3362
31.6681,32.4356,0.7675,65,F4,349.228,64,0.5004
31.6100,31.7842,0.1741,60,C4,261.626,80,0.6300
31.6100,31.8087,0.1987,56,G#3,207.652,67,0.5276
31.4359,31.6100,0.1741,60,C4,261.626,87,0.6823
31.0992,31.2733,0.1741,62,D4,293.665,49,0.3851
31.0992,31.2153,0.1161,55,G3,195.998,41,0.3229
30.7509,30.8670,0.1161,55,G3,195.998,43,0.3352
30.5999,31.0527,0.4528,62,D4,293.665,55,0.4331
30.5999,31.2269,0.6269,60,C4,261.626,47,0.3698
30.2516,30.5767,0.3251,43,G2,97.999,59,0.4678
30.0891,30.5999,0.5108,62,D4,293.665,55,0.4350
29.7627,30.5999,0.8372,60,C4,261.626,73,0.5755
29.4260,29.5421,0.1161,56,G#3,207.652,47,0.3716
29.2519,30.0078,0.7559,55,G3,195.998,83,0.6556
29.0894,29.3448,0.2554,51,D#3,155.563,55,0.4369
28.9268,29.1010,0.1741,56,G#3,207.652,72,0.5700
28.7527,28.8920,0.1393,55,G3,195.998,76,0.6014
28.4160,28.5321,0.1161,51,D#3,155.563,44,0.3481
28.2418,28.7527,0.5108,55,G3,195.998,92,0.7223
27.9051,28.0909,0.1858,60,C4,261.626,69,0.5417
27.3930,27.9051,0.5121,60,C4,261.626,73,0.5720
27.1376,27.8587,0.7211,55,G3,195.998,78,0.6139
27.0447,27.3930,0.3483,60,C4,261.626,52,0.4121
26.8822,27.3350,0.4528,62,D4,293.665,64,0.5068
26.7196,27.1376,0.4180,55,G3,195.998,82,0.6453
26.5803,26.7196,0.1393,55,G3,195.998,106,0.8345
26.5571,26.9751,0.4180,60,C4,261.626,65,0.5081
26.0230,26.5803,0.5573,55,G3,195.998,70,0.5499
26.0114,26.5571,0.5457,60,C4,261.626,62,0.4908
25.8605,26.0114,0.1509,60,C4,261.626,69,0.5429
25.8489,26.0230,0.1741,55,G3,195.998,78,0.6162
25.7199,25.8605,0.1406,60,C4,261.626,70,0.5504
25.6851,25.8489,0.1638,55,G3,195.998,85,0.6664
25.5341,25.9302,0.3960,62,D4,293.665,55,0.4319
25.3716,25.7199,0.3483,60,C4,261.626,57,0.4513
25.2091,25.3716,0.1625,60,C4,261.626,81,0.6411
25.2091,25.6851,0.4760,55,G3,195.998,92,0.7215
25.0349,25.5341,0.4992,62,D4,293.665,58,0.4556
24.8491,25.2091,0.3599,60,C4,261.626,42,0.3321
24.6982,25.0349,0.3367,62,D4,293.665,75,0.5936
24.6053,24.8491,0.2438,60,C4,261.626,53,0.4177
24.3731,24.6053,0.2322,60,C4,261.626,61,0.4820
24.3499,25.2091,0.8591,55,G3,195.998,61,0.4838
24.1642,24.6982,0.5341,62,D4,293.665,62,0.4917
24.0132,24.3731,0.3599,60,C4,261.626,68,0.5369
23.8623,24.3499,0.4876,55,G3,195.998,83,0.6544
23.8507,24.0132,0.1625,60,C4,261.626,87,0.6852
23.5011,23.7914,0.2902,47,B2,123.471,72,0.5693
23.3270,23.7565,0.4296,77,F5,698.456,51,0.4024
23.3270,23.4895,0.1625,65,F4,349.228,59,0.4658
23.1760,23.3618,0.1858,48,C3,130.813,48,0.3773
23.1644,23.6636,0.4992,60,C4,261.626,63,0.4954
23.0019,23.3270,0.3251,65,F4,349.228,49,0.3845
23.0019,23.1644,0.1625,60,C4,261.626,95,0.7502
22.5143,23.0019,0.4876,60,C4,261.626,83,0.6565
22.5026,23.0019,0.4992,65,F4,349.228,69,0.5404
22.3517,22.5143,0.1625,60,C4,261.626,90,0.7075
21.9918,22.3517,0.3599,60,C4,261.626,77,0.6055
21.6306,21.9918,0.3612,60,C4,261.626,67,0.5271
21.6190,22.0615,0.4425,65,F4,349.228,54,0.4243
21.4565,21.6306,0.1741,60,C4,261.626,85,0.6702
21.2939,21.4565,0.1625,60,C4,261.626,87,0.6848
21.1082,21.5261,0.4180,64,E4,329.628,54,0.4257
20.5973,21.2939,0.6966,60,C4,261.626,79,0.6243
20.2606,20.4928,0.2322,63,D#4,311.127,61,0.4794
20.2606,20.5973,0.3367,60,C4,261.626,72,0.5707
20.0749,20.2606,0.1858,60,C4,261.626,78,0.6161
19.9240,20.0749,0.1509,60,C4,261.626,66,0.5183
19.7485,19.9820,0.2335,63,D#4,311.127,50,0.3912
19.5744,19.9240,0.3496,60,C4,261.626,78,0.6131
19.2377,19.3886,0.1509,63,D#4,311.127,53,0.4180
19.2261,19.3073,0.0813,56,G#3,207.652,37,0.2933
18.9010,19.1680,0.2670,63,D#4,311.127,54,0.4278
18.9010,19.5744,0.6734,60,C4,261.626,67,0.5265
18.9010,19.1564,0.2554,48,C3,130.813,43,0.3373
18.7268,18.9010,0.1741,60,C4,261.626,74,0.5862
18.3901,18.9010,0.5108,63,D#4,311.127,47,0.3676
18.3901,18.7268,0.3367,60,C4,261.626,66,0.5219
18.2276,18.3901,0.1625,60,C4,261.626,87,0.6843
18.0651,18.2276,0.1625,60,C4,261.626,87,0.6866
18.0535,18.3553,0.3019,48,C3,130.813,44,0.3496
17.9722,18.0535,0.0813,48,C3,130.813,48,0.3752
17.8664,18.0651,0.1987,60,C4,261.626,96,0.7554
17.5646,18.1115,0.5470,51,D#3,155.563,65,0.5106
17.5529,17.7271,0.1741,75,D#5,622.254,34,0.2679
17.5529,17.7851,0.2322,63,D#4,311.127,54,0.4235
17.2046,17.5065,0.3019,43,G2,97.999,67,0.5273
17.1930,17.2975,0.1045,55,G3,195.998,47,0.3722
17.0421,17.4949,0.4528,62,D4,293.665,73,0.5755
16.8796,17.5646,0.6850,51,D#3,155.563,53,0.4194
16.8680,16.9957,0.1277,55,G3,195.998,45,0.3536
16.7054,16.8680,0.1625,55,G3,195.998,45,0.3564
16.6938,17.1118,0.4180,43,G2,97.999,67,0.5305
16.5313,16.8099,0.2786,62,D4,293.665,69,0.5455
16.1830,16.5429,0.3599,60,C4,261.626,85,0.6705
15.8566,16.0901,0.2335,56,G#3,207.652,67,0.5290
15.6941,16.0320,0.3380,74,D5,587.330,45,0.3533
15.6941,15.8566,0.1625,56,G#3,207.652,32,0.2485
15.3690,15.5315,0.1625,56,G#3,207.652,77,0.6055
15.1832,15.5315,0.3483,60,C4,261.626,49,0.3868
14.9859,15.1832,0.1974,63,D#4,311.127,42,0.3301
14.8117,14.9162,0.1045,62,D4,293.665,50,0.3942
14.8117,14.9278,0.1161,55,G3,195.998,46,0.3610
14.3357,14.8117,0.4760,62,D4,293.665,59,0.4630
13.9990,14.4170,0.4180,60,C4,261.626,62,0.4872
13.8468,13.9990,0.1522,60,C4,261.626,90,0.7067
13.7307,13.8236,0.0929,56,G#3,207.652,51,0.4048
13.4985,13.8468,0.3483,60,C4,261.626,81,0.6374
13.2663,13.6959,0.4296,55,G3,195.998,80,0.6309
13.1734,13.2663,0.0929,56,G#3,207.652,58,0.4587
12.9760,13.1734,0.1974,55,G3,195.998,101,0.7988
12.4768,12.6858,0.2090,55,G3,195.998,80,0.6311
12.4072,12.4768,0.0697,54,F#3,184.997,40,0.3132
11.9776,12.4072,0.4296,55,G3,195.998,62,0.4891
11.6164,11.8370,0.2206,60,C4,261.626,71,0.5606
11.2217,11.6164,0.3947,60,C4,261.626,72,0.5681
11.0939,11.2217,0.1277,60,C4,261.626,78,0.6177
10.8269,11.5235,0.6966,55,G3,195.998,78,0.6136
10.7573,10.8269,0.0697,55,G3,195.998,106,0.8316
10.4090,10.5367,0.1277,58,A#3,233.082,40,0.3130
10.2580,11.0939,0.8359,60,C4,261.626,55,0.4361
10.2464,10.7573,0.5108,55,G3,195.998,95,0.7449
9.7111,10.4322,0.7211,62,D4,293.665,64,0.5079
9.3976,10.2464,0.8488,55,G3,195.998,84,0.6605
9.2235,9.7111,0.4876,62,D4,293.665,62,0.4855
9.2235,9.3976,0.1741,55,G3,195.998,67,0.5310
9.2118,9.6762,0.4644,47,B2,123.471,62,0.4910
9.1190,9.2118,0.0929,47,B2,123.471,93,0.7359
9.1074,10.2580,1.1507,60,C4,261.626,52,0.4116
9.0493,9.1190,0.0697,47,B2,123.471,79,0.6235
8.9216,9.2235,0.3019,55,G3,195.998,96,0.7523
8.8752,9.1074,0.2322,60,C4,261.626,57,0.4502
8.7126,9.2235,0.5108,62,D4,293.665,54,0.4269
8.6546,9.0493,0.3947,47,B2,123.471,64,0.5016
8.5617,8.6546,0.0929,47,B2,123.471,90,0.7119
8.3643,8.7126,0.3483,62,D4,293.665,51,0.3978
8.2947,8.5617,0.2670,47,B2,123.471,55,0.4356
8.0392,8.4804,0.4412,55,G3,195.998,64,0.5035
7.8638,8.3643,0.5005,62,D4,293.665,56,0.4375
7.8638,8.3991,0.5353,60,C4,261.626,48,0.3767
7.7825,8.2947,0.5121,47,B2,123.471,70,0.5475
7.7013,7.8638,0.1625,60,C4,261.626,69,0.5466
7.6780,7.7825,0.1045,47,B2,123.471,90,0.7109
7.5619,8.0392,0.4773,55,G3,195.998,79,0.6203
7.5271,7.7013,0.1741,60,C4,261.626,57,0.4525
7.3646,7.6200,0.2554,62,D4,293.665,51,0.4038
7.3414,7.6780,0.3367,47,B2,123.471,61,0.4837
7.2601,7.3414,0.0813,47,B2,123.471,103,0.8121
7.1788,7.2601,0.0813,47,B2,123.471,100,0.7890
6.9814,7.5619,0.5805,65,F4,349.228,57,0.4522
6.8537,6.9814,0.1277,65,F4,349.228,79,0.6258
